model,MAE,MSE,RMSE,R2,MAPE
Ridge,0.9851891656113568,2.537231367441967,1.5928689109408742,-0.7348293479909374,105.5769167044454
SVR,0.5266680305349468,1.2621224069853585,1.1234422134606472,0.13702509731988688,59.239919252841354
RandomForest,0.480860268999519,1.1003960841174225,1.048997656869367,0.24760530488559307,63.45375389292551
ExtraTrees,0.5264243044503462,1.0124756964535622,1.0062185132731172,0.3077207798727175,60.72752467372475
GradientBoosting,0.7320722294621571,2.076005960512804,1.4408351607705872,-0.4194669485474518,69.02561772937798
