model,MAE,MSE,RMSE,R2,MAPE
LinearRegression,3.496905159849668,58.8152279153631,7.669108678025309,-39.21485182851836,502.3754579825856
Ridge,1.1104548245530332,5.282668865054799,2.298405722463899,-2.612019424170491,135.57802630845146
SVR,0.5755372641285156,1.417368785991003,1.1905329839996046,0.030875544731054583,81.83023140538654
RandomForest,0.7018203030303034,1.6770417424555575,1.2950064642524213,-0.14667557320599967,103.47853015823883
ExtraTrees,0.8283529999999991,2.5045322603961817,1.582571407676817,-0.7124713670499565,119.2305375239803
GradientBoosting,0.9406875699418958,2.554201458655491,1.598186928571089,-0.7464326304716302,157.63414759551037
