model,MAE,MSE,RMSE,R2,MAPE
ExtraTrees_A,0.45113877410934916,1.0648711634063857,1.0319259486059964,0.2718954330250275,59.27256825157777
ExtraTrees_B,0.40195808290308316,0.92176587097029,0.9600863872435074,0.3697435301109716,50.345056299905345
ExtraTrees_C,0.37911177862772905,0.8851508236487532,0.9408245445611808,0.3947790312034559,46.71978168064903
RandomForest,0.4391441298281894,1.0190440079729928,1.0094770963092687,0.30322970360081114,54.23971343676703
GradientBoosting,0.35755543870452783,0.7767960154264933,0.8813603209961822,0.4688665203114849,43.929576165205766
SVR,0.45259038470977536,1.2068696459615615,1.0985761903307214,0.17480411606119017,60.53883123679521
Ridge,0.6148213033689222,1.04633432547029,1.0229048467332091,0.28456997697208286,91.4806556800034
WeightedEnsemble,0.4082102911512609,0.9457902861121608,0.9725174991290186,0.3533168608717152,54.053360443676354
