model,MAE,MSE,RMSE,R2,MAPE
Ridge,0.9236842903068715,1.8131582854558632,1.3465356606699517,-0.23974512002548276,128.8748535343016
SVR,0.46508116732028315,1.2172905414890574,1.1033089057417498,0.16767883942089945,63.140606673671606
RandomForest,0.4129582614226676,0.9793486448811405,0.9896204549629825,0.330371367445339,46.35057288678825
ExtraTrees,0.3563447223889036,0.8391480515492539,0.9160502451008099,0.4262333794947635,43.56642357638515
GradientBoosting,0.3801480894964243,0.8558472372922652,0.9251201204666696,0.41481532835197954,39.975914635291154
