model,MAE,MSE,RMSE,R2,MAPE
Ridge,0.7137037797151777,1.6081539335399229,1.2681300933027033,-0.09957360443831775,85.68999967656215
SVR,0.4958539320307635,1.323244419475313,1.150323615108076,0.09523298390188695,59.38893134591458
RandomForest,0.46150173380886805,1.036999553325146,1.0183317501311377,0.2909526178624684,59.459240556043
ExtraTrees,0.3923028152419359,0.8782821720926205,0.9371670993438793,0.39947546466774664,45.89628688303561
GradientBoosting,0.5038339294257249,0.9598286494311022,0.9797084512400116,0.3437181443352675,63.20026651670461
